Model units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Enemy units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Number of Lifetimes ran: 400

Iteration 0 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 4681 ended with reward tensor([0.7000]), enemy health [0.0, 8.0], model health [2.0, 9]
Iteration 4682 ended with reward tensor([1.2000]), enemy health [0.0, 8.0], model health [1.0, 9]
Iteration 4683 ended with reward tensor([-0.5000]), enemy health [0.0, 8.0], model health [1.0, 9]
Iteration 4684 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0.0, 7.0]
Iteration 4685 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [0.0, 7.0]
Iteration 4686 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [0.0, 7.0]
Iteration 4687 ended with reward tensor([0.7000]), enemy health [0.0, 1.0], model health [0.0, 7.0]
Iteration 4688 ended with reward tensor([2.]), enemy health [0.0, 0.0], model health [0.0, 7.0]
model won!
Iteration 4689 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4690 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4691 ended with reward tensor([0.4000]), enemy health [5.0, 9], model health [3.0, 9]
Iteration 4692 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [0, 9]
Iteration 4693 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [0, 9]
Iteration 4694 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [0, 9]
Iteration 4695 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0, 9]
Iteration 4696 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [0, 9]
Iteration 4697 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [0, 9]
Iteration 4698 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0, 9]
Iteration 4699 ended with reward tensor([1.]), enemy health [0.0, 9], model health [0, 9]
Iteration 4700 ended with reward tensor([0.7000]), enemy health [0.0, 8.0], model health [0, 5.0]
Iteration 4701 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 4.0]
Iteration 4702 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 2.0]
Iteration 4703 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 1.0]
Iteration 4704 ended with reward tensor([0]), enemy health [0.0, 7.0], model health [0, 1.0]
Iteration 4705 ended with reward tensor([-0.5000]), enemy health [0.0, 7.0], model health [0, 0]
enemy won!
Iteration 4706 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4707 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4708 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4709 ended with reward tensor([0.4000]), enemy health [4.0, 9], model health [4.0, 9]
Iteration 4710 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [1.0, 9]
Iteration 4711 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0, 9]
Iteration 4712 ended with reward tensor([0.7000]), enemy health [4.0, 7.0], model health [0, 9]
Iteration 4713 ended with reward tensor([0.7000]), enemy health [4.0, 7.0], model health [0, 8.0]
Iteration 4714 ended with reward tensor([0.7000]), enemy health [4.0, 6.0], model health [0, 5.0]
Iteration 4715 ended with reward tensor([0.7000]), enemy health [4.0, 6.0], model health [0, 3.0]
Iteration 4716 ended with reward tensor([0.7000]), enemy health [3.0, 6.0], model health [0, 1.0]
Iteration 4717 ended with reward tensor([-0.5000]), enemy health [3.0, 6.0], model health [0, 0.0]
enemy won!
Iteration 4718 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [8, 8.0]
Iteration 4719 ended with reward tensor([0]), enemy health [4.0, 9], model health [8, 8.0]
Iteration 4720 ended with reward tensor([0]), enemy health [4.0, 9], model health [8, 8.0]
Iteration 4721 ended with reward tensor([0.4000]), enemy health [0.0, 9], model health [8, 8.0]
Iteration 4722 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [1.0, 8.0]
Iteration 4723 ended with reward tensor([-1.]), enemy health [0.0, 9], model health [1.0, 8.0]
Iteration 4724 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [1.0, 7.0]
Iteration 4725 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [1.0, 5.0]
Iteration 4726 ended with reward tensor([0.5000]), enemy health [0.0, 9], model health [1.0, 0.0]
Iteration 4727 ended with reward tensor([0.]), enemy health [0.0, 9], model health [1.0, 0.0]
Iteration 4728 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0.0, 0.0]
enemy won!
Iteration 4729 ended with reward tensor([0.2000]), enemy health [7.0, 9], model health [8, 9.0]
Iteration 4730 ended with reward tensor([0.2000]), enemy health [3.0, 9], model health [8, 9.0]
Iteration 4731 ended with reward tensor([0.4000]), enemy health [0, 9], model health [8, 9.0]
Iteration 4732 ended with reward tensor([0]), enemy health [0, 9], model health [8, 9.0]
Iteration 4733 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [8, 9.0]
Iteration 4734 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [7.0, 9.0]
Iteration 4735 ended with reward tensor([-1.]), enemy health [0, 9], model health [4.0, 9.0]
Iteration 4736 ended with reward tensor([-1.]), enemy health [0, 9], model health [4.0, 9.0]
Iteration 4737 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0.0, 9.0]
Iteration 4738 ended with reward tensor([0.7000]), enemy health [0, 8.0], model health [0.0, 8.0]
Iteration 4739 ended with reward tensor([0.7000]), enemy health [0, 8.0], model health [0.0, 8.0]
Iteration 4740 ended with reward tensor([0.7000]), enemy health [0, 7.0], model health [0.0, 8.0]
Iteration 4741 ended with reward tensor([0.7000]), enemy health [0, 7.0], model health [0.0, 7.0]
Iteration 4742 ended with reward tensor([0.7000]), enemy health [0, 5.0], model health [0.0, 6.0]
Iteration 4743 ended with reward tensor([0.7000]), enemy health [0, 3.0], model health [0.0, 6.0]
Iteration 4744 ended with reward tensor([2.]), enemy health [0, 0], model health [0.0, 6.0]
model won!
Iteration 4745 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4746 ended with reward tensor([0.2000]), enemy health [6.0, 9], model health [8, 9]
Iteration 4747 ended with reward tensor([0.4000]), enemy health [2.0, 9], model health [8, 9]
Iteration 4748 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [2.0, 9]
Iteration 4749 ended with reward tensor([1.]), enemy health [0.0, 9], model health [0.0, 9]
Iteration 4750 ended with reward tensor([0.]), enemy health [0.0, 9], model health [0.0, 9.0]
Iteration 4751 ended with reward tensor([0.]), enemy health [0.0, 9], model health [0.0, 7.0]
Iteration 4752 ended with reward tensor([0.7000]), enemy health [0.0, 8.0], model health [0.0, 7.0]
Iteration 4753 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0.0, 7.0]
Iteration 4754 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [0, 7.0]
Iteration 4755 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [0, 7.0]
Iteration 4756 ended with reward tensor([0.7000]), enemy health [0.0, 1.0], model health [0.0, 7.0]
Iteration 4757 ended with reward tensor([2.]), enemy health [0.0, 0.0], model health [0.0, 7.0]
model won!
Iteration 4758 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4759 ended with reward tensor([0.4000]), enemy health [4.0, 9], model health [8, 6.0]
Iteration 4760 ended with reward tensor([0.9000]), enemy health [0.0, 9], model health [8, 6.0]
Iteration 4761 ended with reward tensor([0.7000]), enemy health [0.0, 8.0], model health [8.0, 6.0]
Iteration 4762 ended with reward tensor([-1.]), enemy health [0.0, 8.0], model health [8.0, 6.0]
Iteration 4763 ended with reward tensor([-0.5000]), enemy health [0.0, 8.0], model health [0.0, 6.0]
Iteration 4764 ended with reward tensor([-0.5000]), enemy health [0.0, 8.0], model health [0.0, 6.0]
Iteration 4765 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0.0, 4.0]
Iteration 4766 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [0.0, 4.0]
Iteration 4767 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [0.0, 3.0]
Iteration 4768 ended with reward tensor([2.]), enemy health [0.0, 0.0], model health [0.0, 1.0]
model won!
Iteration 4769 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4770 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 4771 ended with reward tensor([-0.3000]), enemy health [8, 9], model health [8, 9.0]
Iteration 4772 ended with reward tensor([0.7000]), enemy health [6.0, 9], model health [4.0, 9.0]
Iteration 4773 ended with reward tensor([0.7000]), enemy health [6.0, 9], model health [4.0, 9.0]
Iteration 4774 ended with reward tensor([0.7000]), enemy health [6.0, 9], model health [4.0, 9.0]
Iteration 4775 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [2.0, 9.0]
Iteration 4776 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [2.0, 9.0]
Iteration 4777 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [2.0, 9.0]
Iteration 4778 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [2.0, 9.0]
Iteration 4779 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0, 9.0]
Iteration 4780 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0, 9.0]
Iteration 4781 ended with reward tensor([1.]), enemy health [0.0, 9], model health [0, 9.0]
Iteration 4782 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 5.0]
Iteration 4783 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0, 5.0]
Iteration 4784 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [0, 5.0]
Iteration 4785 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [0, 5.0]
Iteration 4786 ended with reward tensor([2.]), enemy health [0.0, 0], model health [0, 3.0]
model won!
Iteration 4787 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4788 ended with reward tensor([0.4000]), enemy health [0.0, 9], model health [8, 9]
Iteration 4789 ended with reward tensor([-1.]), enemy health [0.0, 9], model health [6.0, 9]
Iteration 4790 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [2.0, 9]
Iteration 4791 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [2.0, 5.0]
Iteration 4792 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [2.0, 3.0]
Iteration 4793 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [2.0, 1.0]
Iteration 4794 ended with reward tensor([0.5000]), enemy health [0.0, 4.0], model health [2.0, 0.0]
Iteration 4795 ended with reward tensor([-1.]), enemy health [0.0, 4.0], model health [2.0, 0.0]
Iteration 4796 ended with reward tensor([-0.5000]), enemy health [0.0, 4.0], model health [0, 0.0]
enemy won!
Iteration 4797 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4798 ended with reward tensor([0.2000]), enemy health [6.0, 9], model health [8, 9]
Iteration 4799 ended with reward tensor([0.4000]), enemy health [1.0, 9], model health [8, 9.0]
Iteration 4800 ended with reward tensor([1.]), enemy health [0.0, 9], model health [6.0, 9.0]
Iteration 4801 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [6.0, 7.0]
Iteration 4802 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [6.0, 7.0]
Iteration 4803 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [6.0, 7.0]
Iteration 4804 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [6.0, 6.0]
Iteration 4805 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [6.0, 2.0]
Iteration 4806 ended with reward tensor([-1.5000]), enemy health [0.0, 1.0], model health [6.0, 2.0]
Iteration 4807 ended with reward tensor([2.]), enemy health [0.0, 0.0], model health [6.0, 2.0]
model won!
Iteration 4808 ended with reward tensor([0.9000]), enemy health [5.0, 9], model health [3.0, 9]
Iteration 4809 ended with reward tensor([0.4000]), enemy health [1.0, 9], model health [3.0, 8.0]
Iteration 4810 ended with reward tensor([0.2000]), enemy health [0.0, 9], model health [3.0, 8.0]
Iteration 4811 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0, 7.0]
Iteration 4812 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0, 5.0]
Iteration 4813 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0, 4.0]
Iteration 4814 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0, 3.0]
Iteration 4815 ended with reward tensor([-1.]), enemy health [0.0, 9], model health [0, 0.0]
enemy won!
Iteration 4816 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4817 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [8, 9]
Iteration 4818 ended with reward tensor([0.4000]), enemy health [0.0, 9], model health [8, 8.0]
Iteration 4819 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [5.0, 6.0]
Iteration 4820 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [5.0, 6.0]
Iteration 4821 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [5.0, 4.0]
Iteration 4822 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [5.0, 4.0]
Iteration 4823 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [5.0, 1.0]
Iteration 4824 ended with reward tensor([0]), enemy health [0.0, 2.0], model health [5.0, 0.0]
Iteration 4825 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [5.0, 0.0]
Iteration 4826 ended with reward tensor([-1.]), enemy health [0.0, 2.0], model health [5.0, 0.0]
Iteration 4827 ended with reward tensor([-1.]), enemy health [0.0, 2.0], model health [0.0, 0.0]
enemy won!
Iteration 4828 ended with reward tensor([0.7000]), enemy health [8, 9.0], model health [6.0, 9]
Iteration 4829 ended with reward tensor([-0.5000]), enemy health [8, 9.0], model health [6.0, 9]
Iteration 4830 ended with reward tensor([0.7000]), enemy health [8.0, 9.0], model health [2.0, 9]
Iteration 4831 ended with reward tensor([0.7000]), enemy health [8.0, 9.0], model health [2.0, 9]
Iteration 4832 ended with reward tensor([0.7000]), enemy health [7.0, 9.0], model health [0.0, 9]
Iteration 4833 ended with reward tensor([0.7000]), enemy health [6.0, 9.0], model health [0.0, 9]
Iteration 4834 ended with reward tensor([0.7000]), enemy health [5.0, 9.0], model health [0.0, 9]
Iteration 4835 ended with reward tensor([0.7000]), enemy health [4.0, 9.0], model health [0.0, 9]
Iteration 4836 ended with reward tensor([0.7000]), enemy health [4.0, 9.0], model health [0.0, 9]
Iteration 4837 ended with reward tensor([0.7000]), enemy health [4.0, 9.0], model health [0.0, 9]
Iteration 4838 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 9]
Iteration 4839 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 9]
Iteration 4840 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 9]
Iteration 4841 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 9]
Iteration 4842 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 9]
Iteration 4843 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 9]
Iteration 4844 ended with reward tensor([0.7000]), enemy health [1.0, 9.0], model health [0.0, 9]
Iteration 4845 ended with reward tensor([1.]), enemy health [0.0, 9.0], model health [0.0, 9]
Iteration 4846 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0.0, 7.0]
Iteration 4847 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0.0, 5.0]
Iteration 4848 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0.0, 3.0]
Iteration 4849 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [0.0, 2.0]
Iteration 4850 ended with reward tensor([-1.]), enemy health [0.0, 2.0], model health [0.0, 0.0]
enemy won!
Iteration 4851 ended with reward tensor([0.4000]), enemy health [1.0, 9], model health [8, 9]
Iteration 4852 ended with reward tensor([0.2000]), enemy health [0, 9], model health [8, 7.0]
Iteration 4853 ended with reward tensor([0]), enemy health [0, 9], model health [8, 7.0]
Iteration 4854 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [6.0, 7.0]
Iteration 4855 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0.0, 7.0]
Iteration 4856 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0.0, 7.0]
Iteration 4857 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0.0, 7.0]
Iteration 4858 ended with reward tensor([0.7000]), enemy health [0, 7.0], model health [0.0, 5.0]
Iteration 4859 ended with reward tensor([0.7000]), enemy health [0, 7.0], model health [0.0, 4.0]
Iteration 4860 ended with reward tensor([0.7000]), enemy health [0, 7.0], model health [0.0, 3.0]
Iteration 4861 ended with reward tensor([0.7000]), enemy health [0, 7.0], model health [0.0, 2.0]
Iteration 4862 ended with reward tensor([0.7000]), enemy health [0, 6.0], model health [0.0, 2.0]
Iteration 4863 ended with reward tensor([-1.]), enemy health [0, 6.0], model health [0.0, 0.0]
enemy won!
Iteration 4864 ended with reward tensor([0.4000]), enemy health [4.0, 9], model health [6.0, 9]
Iteration 4865 ended with reward tensor([-0.3000]), enemy health [3.0, 9], model health [6.0, 7.0]
Iteration 4866 ended with reward tensor([0.2000]), enemy health [2.0, 9], model health [3.0, 7.0]
Iteration 4867 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [3.0, 7.0]
Iteration 4868 ended with reward tensor([0.2000]), enemy health [0.0, 9], model health [0, 4.0]
Iteration 4869 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 1.0]
Iteration 4870 ended with reward tensor([-1.]), enemy health [0.0, 7.0], model health [0, 0.0]
enemy won!
Iteration 4871 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4872 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 4873 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [5.0, 9.0]
Iteration 4874 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [4.0, 9.0]
Iteration 4875 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [4.0, 9.0]
Iteration 4876 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [1.0, 9.0]
Iteration 4877 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [1.0, 9.0]
Iteration 4878 ended with reward tensor([1.]), enemy health [0, 9], model health [1.0, 9.0]
Iteration 4879 ended with reward tensor([0.7000]), enemy health [0, 8.0], model health [1.0, 6.0]
Iteration 4880 ended with reward tensor([0.7000]), enemy health [0, 6.0], model health [1.0, 5.0]
Iteration 4881 ended with reward tensor([0.7000]), enemy health [0, 5.0], model health [1.0, 5.0]
Iteration 4882 ended with reward tensor([0.7000]), enemy health [0, 5.0], model health [1.0, 2.0]
Iteration 4883 ended with reward tensor([0.7000]), enemy health [0, 4.0], model health [1.0, 1.0]
Iteration 4884 ended with reward tensor([0]), enemy health [0, 4.0], model health [1.0, 0.0]
Iteration 4885 ended with reward tensor([0.5000]), enemy health [0, 4.0], model health [1.0, 0.0]
Iteration 4886 ended with reward tensor([-1.]), enemy health [0, 4.0], model health [0, 0.0]
enemy won!
Iteration 4887 ended with reward tensor([0]), enemy health [8, 9], model health [5.0, 9]
Iteration 4888 ended with reward tensor([0]), enemy health [8, 9], model health [0.0, 9]
Iteration 4889 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [0.0, 9.0]
Iteration 4890 ended with reward tensor([0.7000]), enemy health [4.0, 7.0], model health [0.0, 9.0]
Iteration 4891 ended with reward tensor([0.7000]), enemy health [4.0, 6.0], model health [0.0, 9.0]
Iteration 4892 ended with reward tensor([0.7000]), enemy health [4.0, 4.0], model health [0.0, 9.0]
Iteration 4893 ended with reward tensor([0.7000]), enemy health [4.0, 4.0], model health [0.0, 9.0]
Iteration 4894 ended with reward tensor([0.7000]), enemy health [4.0, 4.0], model health [0.0, 9.0]
Iteration 4895 ended with reward tensor([0.7000]), enemy health [4.0, 4.0], model health [0.0, 9.0]
Iteration 4896 ended with reward tensor([0.7000]), enemy health [4.0, 1.0], model health [0.0, 9.0]
Iteration 4897 ended with reward tensor([1.]), enemy health [4.0, 0.0], model health [0.0, 9.0]
Iteration 4898 ended with reward tensor([0.7000]), enemy health [4.0, 0.0], model health [0.0, 9.0]
Iteration 4899 ended with reward tensor([0.7000]), enemy health [2.0, 0.0], model health [0.0, 9.0]
Iteration 4900 ended with reward tensor([0.7000]), enemy health [1.0, 0.0], model health [0.0, 9.0]
Iteration 4901 ended with reward tensor([1.7000]), enemy health [0.0, 0.0], model health [0.0, 9.0]
model won!
Iteration 4902 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [5.0, 9]
Iteration 4903 ended with reward tensor([0.9000]), enemy health [0.0, 9], model health [2.0, 6.0]
Iteration 4904 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0.0, 6.0]
Iteration 4905 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0.0, 6.0]
Iteration 4906 ended with reward tensor([0.]), enemy health [0.0, 9], model health [0.0, 4.0]
Iteration 4907 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0.0, 2.0]
Iteration 4908 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0.0, 1.0]
Iteration 4909 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0.0, 1.0]
Iteration 4910 ended with reward tensor([-0.5000]), enemy health [0.0, 4.0], model health [0.0, 0.0]
enemy won!
Iteration 4911 ended with reward tensor([0]), enemy health [8, 9], model health [5.0, 9]
Iteration 4912 ended with reward tensor([0.2000]), enemy health [7.0, 9], model health [5.0, 9]
Iteration 4913 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [5.0, 9.0]
Iteration 4914 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [3.0, 9.0]
Iteration 4915 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [3.0, 9.0]
Iteration 4916 ended with reward tensor([0.7000]), enemy health [2.0, 9.0], model health [0.0, 9.0]
Iteration 4917 ended with reward tensor([0.7000]), enemy health [2.0, 6.0], model health [0.0, 8.0]
Iteration 4918 ended with reward tensor([0.7000]), enemy health [2.0, 5.0], model health [0.0, 8.0]
Iteration 4919 ended with reward tensor([0.7000]), enemy health [2.0, 5.0], model health [0.0, 6.0]
Iteration 4920 ended with reward tensor([0.7000]), enemy health [2.0, 4.0], model health [0.0, 5.0]
Iteration 4921 ended with reward tensor([0.7000]), enemy health [2.0, 4.0], model health [0.0, 4.0]
Iteration 4922 ended with reward tensor([0.7000]), enemy health [2.0, 4.0], model health [0.0, 1.0]
Iteration 4923 ended with reward tensor([-1.]), enemy health [2.0, 4.0], model health [0.0, 0.0]
enemy won!
Iteration 4924 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4925 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4926 ended with reward tensor([0.2000]), enemy health [6.0, 9], model health [8, 9]
Iteration 4927 ended with reward tensor([0.9000]), enemy health [4.0, 9], model health [3.0, 9]
Iteration 4928 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 8.0]
Iteration 4929 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 7.0]
Iteration 4930 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0.0, 7.0]
Iteration 4931 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0.0, 7.0]
Iteration 4932 ended with reward tensor([0.7000]), enemy health [3.0, 9.0], model health [0.0, 7.0]
Iteration 4933 ended with reward tensor([0.7000]), enemy health [3.0, 7.0], model health [0.0, 7.0]
Iteration 4934 ended with reward tensor([0.7000]), enemy health [3.0, 6.0], model health [0, 7.0]
Iteration 4935 ended with reward tensor([0.7000]), enemy health [3.0, 4.0], model health [0, 7.0]
Iteration 4936 ended with reward tensor([0.7000]), enemy health [3.0, 3.0], model health [0, 6.0]
Iteration 4937 ended with reward tensor([0.2000]), enemy health [3.0, 2.0], model health [0, 6.0]
Iteration 4938 ended with reward tensor([0.7000]), enemy health [3.0, 1.0], model health [0, 2.0]
Iteration 4939 ended with reward tensor([0.7000]), enemy health [3.0, 1.0], model health [0, 1.0]
Iteration 4940 ended with reward tensor([-0.5000]), enemy health [3.0, 1.0], model health [0, 0]
enemy won!
Iteration 4941 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 4942 ended with reward tensor([0.4000]), enemy health [7.0, 9], model health [8.0, 9]
Iteration 4943 ended with reward tensor([0.4000]), enemy health [6.0, 9], model health [6.0, 9]
Iteration 4944 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [2.0, 6.0]
Iteration 4945 ended with reward tensor([0.7000]), enemy health [5.0, 8.0], model health [0.0, 6.0]
Iteration 4946 ended with reward tensor([0.7000]), enemy health [5.0, 6.0], model health [0.0, 6.0]
Iteration 4947 ended with reward tensor([0.7000]), enemy health [5.0, 5.0], model health [0.0, 6.0]
Iteration 4948 ended with reward tensor([0.7000]), enemy health [5.0, 2.0], model health [0.0, 6.0]
Iteration 4949 ended with reward tensor([0.7000]), enemy health [5.0, 1.0], model health [0.0, 6.0]
Iteration 4950 ended with reward tensor([1.]), enemy health [5.0, 0.0], model health [0.0, 6.0]
Iteration 4951 ended with reward tensor([0.7000]), enemy health [4.0, 0.0], model health [0.0, 6.0]
Iteration 4952 ended with reward tensor([0.7000]), enemy health [3.0, 0.0], model health [0.0, 6.0]
Iteration 4953 ended with reward tensor([0.7000]), enemy health [3.0, 0.0], model health [0.0, 6.0]
Iteration 4954 ended with reward tensor([1.7000]), enemy health [0, 0.0], model health [0.0, 6.0]
model won!
Iteration 4955 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [8, 9]
Iteration 4956 ended with reward tensor([0.4000]), enemy health [4.0, 9], model health [8, 9]
Iteration 4957 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [8.0, 9.0]
Iteration 4958 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [8.0, 9.0]
Iteration 4959 ended with reward tensor([1.]), enemy health [0.0, 9], model health [8.0, 9.0]
Iteration 4960 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [8.0, 7.0]
Iteration 4961 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [4.0, 7.0]
Iteration 4962 ended with reward tensor([0.]), enemy health [0.0, 9], model health [1.0, 7.0]
Iteration 4963 ended with reward tensor([-1.]), enemy health [0.0, 9], model health [1.0, 5.0]
Iteration 4964 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [1.0, 5.0]
Iteration 4965 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0, 5.0]
Iteration 4966 ended with reward tensor([0.]), enemy health [0.0, 9], model health [0, 4.0]
Iteration 4967 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 2.0]
Iteration 4968 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0, 1.0]
Iteration 4969 ended with reward tensor([-0.5000]), enemy health [0.0, 6.0], model health [0, 0]
enemy won!
Iteration 4970 ended with reward tensor([0]), enemy health [8, 9], model health [5.0, 9]
Iteration 4971 ended with reward tensor([0]), enemy health [8, 9], model health [5.0, 9]
